STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY,ZIPCODE
LIVONIA AV,138467.0,1822.0,11207
CITY HALL,136576.0,1797.0,10007
MORRIS PARK,136545.0,1797.0,10462
FRANKLIN ST,134159.0,1765.0,10013
RIT-MANHATTAN,134108.0,1765.0,10003
LIBERTY AV,130900.0,1722.0,11207
AVENUE H,130666.0,1719.0,11230
121 ST,129094.0,1699.0,11418
BUSHWICK AV,128046.0,1685.0,11207
NEWARK C,126840.0,1669.0,7102
W 8 ST-AQUARIUM,124508.0,1638.0,11224
RIT-ROOSEVELT,123088.0,1620.0,10044
BEACH 67 ST,123082.0,1620.0,11692
BAYCHESTER AV,117001.0,1539.0,10469
238 ST,116522.0,1533.0,10463
BRONX PARK EAST,115658.0,1522.0,10462
21 ST,113232.0,1490.0,11101
88 ST,112177.0,1476.0,11417
55 ST,111546.0,1468.0,11219
BEACH 25 ST,109692.0,1443.0,11691
MIDDLETOWN RD,108544.0,1428.0,10461
75 AV,108281.0,1425.0,11375
AVENUE N,107892.0,1420.0,11230
AVENUE X,106280.0,1398.0,11223
BEACH 60 ST,102093.0,1343.0,11692
AVENUE P,97530.0,1283.0,11223
BOTANIC GARDEN,91755.0,1207.0,11225
190 ST,91504.0,1204.0,10040
CYPRESS HILLS,90420.0,1190.0,11208
AQUEDUCT N.COND,85904.0,1130.0,11417
BAY 50 ST,83834.0,1103.0,11223
ATLANTIC AV,83184.0,1095.0,11217
E 143/ST MARY'S,81176.0,1068.0,10454
AVENUE I,79410.0,1045.0,11230
BEACH 36 ST,63092.0,830.0,11691
215 ST,61815.0,813.0,10034
AQUEDUCT RACETR,57418.0,756.0,11417
BEACH 90 ST,56731.0,746.0,11693
NEPTUNE AV,55795.0,734.0,11224
BEACH 44 ST,49878.0,656.0,11691
ROCKAWAY PARK B,46011.0,605.0,11694
BEACH 98 ST,21984.0,289.0,11694
TOMPKINSVILLE,19306.0,254.0,10301
BEACH 105 ST,12053.0,159.0,11694
BROAD CHANNEL,11550.0,152.0,11693
