STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY
NEWARK HM HE,339866.0,4472.0
33 ST-RAWSON ST,337501.0,4441.0
116 ST-COLUMBIA,334417.0,4400.0
155 ST,333325.0,4386.0
183 ST,331023.0,4356.0
GRANT AV,329499.0,4336.0
CANARSIE-ROCKAW,328174.0,4318.0
176 ST,325670.0,4285.0
3 AV,323158.0,4252.0
RECTOR ST,322014.0,4237.0
MORGAN AV,321171.0,4226.0
CASTLE HILL AV,318987.0,4197.0
KINGSTON-THROOP,316557.0,4165.0
PELHAM BAY PARK,312516.0,4112.0
JFK JAMAICA CT1,310424.0,4085.0
FAR ROCKAWAY,310125.0,4081.0
MT EDEN AV,309801.0,4076.0
AVENUE J,309676.0,4075.0
WTC-CORTLANDT,308440.0,4058.0
TWENTY THIRD ST,307893.0,4051.0
EASTCHSTER/DYRE,301872.0,3972.0
V.CORTLANDT PK,301422.0,3966.0
74 ST-BROADWAY,298925.0,3933.0
SMITH-9 ST,298008.0,3921.0
WOODLAWN,297753.0,3918.0
67 AV,294927.0,3881.0
METS-WILLETS PT,293829.0,3866.0
NEW UTRECHT AV,291713.0,3838.0
FREEMAN ST,291502.0,3836.0
CLASSON AV,290381.0,3821.0
ROCKAWAY BLVD,286835.0,3774.0
174-175 STS,285321.0,3754.0
JAMAICA VAN WK,281418.0,3703.0
ST LAWRENCE AV,280729.0,3694.0
STERLING ST,272703.0,3588.0
GATES AV,271785.0,3576.0
207 ST,268648.0,3535.0
WILSON AV,267397.0,3518.0
231 ST,263189.0,3463.0
NEW LOTS,259861.0,3419.0
KINGSTON AV,259713.0,3417.0
BAY RIDGE-95 ST,259075.0,3409.0
KNICKERBOCKER,258082.0,3396.0
MYRTLE-WILLOUGH,257718.0,3391.0
163 ST-AMSTERDM,256410.0,3374.0
RALPH AV,254356.0,3347.0
AVENUE M,250281.0,3293.0
JEFFERSON ST,247297.0,3254.0
CORTELYOU RD,245774.0,3234.0
25 ST,243117.0,3199.0
ALLERTON AV,240998.0,3171.0
EASTN PKWY-MUSM,240013.0,3158.0
LACKAWANNA,235829.0,3103.0
SUTPHIN BLVD,234942.0,3091.0
PRESIDENT ST,234697.0,3088.0
FOREST AVE,234152.0,3081.0
YORK ST,233547.0,3073.0
138/GRAND CONC,233476.0,3072.0
4 AV-9 ST,233030.0,3066.0
182-183 STS,230010.0,3026.0
HUNTERS PT AV,225869.0,2972.0
18 ST,225435.0,2966.0
INTERVALE AV,223884.0,2946.0
KOSCIUSZKO ST,222818.0,2932.0
104 ST,222356.0,2926.0
233 ST,222144.0,2923.0
LONGWOOD AV,221623.0,2916.0
PATH WTC 2,220939.0,2907.0
GRAND ARMY PLAZ,220063.0,2896.0
BUHRE AV,218493.0,2875.0
NORWOOD AV,216449.0,2848.0
PENNSYLVANIA AV,216116.0,2844.0
15 ST-PROSPECT,215856.0,2840.0
WINTHROP ST,214413.0,2821.0
9TH STREET,214214.0,2819.0
